0,1,2,3,dGsolv_avg,5,6,7,8,9,10,11
C1=CC=C(C=C1)Br,CCCCCCCC,InChI=1/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,"InChI=1/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",-5.045775,0.0342030974474534,"[-5.1, -5.0495, -5.012, -5.0216]","["" 'Abraham Paper (A6)'"", "" 'CompSol Binary (entry number=34046)'"", "" 'CompSol Binary (entry number=34047)'"", "" 'CompSol Binary (entry number=34048)'""]",157.01,114.232,7,8
C1=CC=C(C=C1)Br,Cc1ccccc1,InChI=1/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,"InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",-5.15476666666667,0.0183866497461852,"[-5.17, -5.1654, -5.1289]","["" 'Abraham Paper (A6)'"", "" 'CompSol Binary (entry number=34040)'"", "" 'CompSol Binary (entry number=34041)'""]",157.01,92.141,7,7
C1=CC=C(C=C1)Br,CCO,InChI=1/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3",-3.12556666666667,0.0987245438356417,"[-3.06, -3.0516, -3.2651]","["" 'Abraham Paper (A6)'"", "" 'CompSol Binary (entry number=34020)'"", "" 'CompSol Binary (entry number=34021)'""]",157.01,46.069,7,3
C1=CC=C(C=C1)Br,CCCO,InChI=1/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,"InChI=1/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",-3.66,0.0,[-3.66],"["" 'Abraham Paper (A6)'""]",157.01,60.096,7,4
C1=CC=C(C=C1)Br,CCCCCO,InChI=1/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,"InChI=1/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3",-5.42,0.0,[-5.42],"["" 'Abraham Paper (A6)'""]",157.01,88.15,7,6
C1=CC=C(C=C1)Br,CCCCCCO,InChI=1/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,"InChI=1/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",-5.98,0.0,[-5.98],"["" 'Abraham Paper (A6)'""]",157.01,102.177,7,7
C1=CC=C(C=C1)Br,C1COCCO1,InChI=1/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,InChI=1/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,-5.0821,0.0977834682687552,"[-5.22, -5.0042, -5.0221]","["" 'Abraham Paper (A6)'"", "" 'CompSol Binary (entry number=33976)'"", "" 'CompSol Binary (entry number=33977)'""]",157.01,88.106,7,6
C1=CC=C(C=C1)Br,CCC(C)=O,InChI=1/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,"InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3",-4.37903333333333,0.00836752983595243,"[-4.39, -4.3774, -4.3697]","["" 'Abraham Paper (A6)'"", "" 'CompSol Binary (entry number=33993)'"", "" 'CompSol Binary (entry number=33994)'""]",157.01,72.107,7,5
C1=CC=C(C=C1)Br,C[N+]([O-])=O,InChI=1/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,InChI=1/CH3NO2/c1-2(3)4/h1H3,-4.18786666666667,0.0502647877632928,"[-4.15, -4.1547, -4.2589]","["" 'Abraham Paper (A6)'"", "" 'CompSol Binary (entry number=34043)'"", "" 'CompSol Binary (entry number=34044)'""]",157.01,61.04,7,4
CCCCO,CCCCCCCC,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3","InChI=1/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",-4.48766666666667,0.0481530776678801,"[-4.45, -4.45, -4.573, -4.531, -4.4767, -4.4453]","["" 'Abraham Paper (A12)'"", "" 'Abraham Paper (A2)'"", "" 'CompSol Binary (entry number=9125)'"", "" 'CompSol Binary (entry number=9130)'"", "" 'CompSol Binary (entry number=9131)'"", "" 'CompSol Binary (entry number=9134)'""]",74.123,114.232,5,8
CCCCO,Cc1ccccc1,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3","InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",-4.517,0.00703562363973503,"[-4.52, -4.52, -4.523, -4.505]","["" 'Abraham Paper (A12)'"", "" 'Abraham Paper (A2)'"", "" 'CompSol Binary (entry number=9091)'"", "" 'CompSol Binary (entry number=9092)'""]",74.123,92.141,5,7
CCCCO,CCO,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3","InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3",-4.8984,0.0666262710948165,"[-4.86, -4.86, -5.0138, -4.8598]","["" 'Abraham Paper (A12)'"", "" 'Abraham Paper (A2)'"", "" 'CompSol Binary (entry number=8907)'"", "" 'CompSol Binary (entry number=8928)'""]",74.123,46.069,5,3
CCCCO,CCC(C)=O,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3","InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3",-4.12618,0.013319819818601,"[-4.12, -4.12, -4.1276, -4.151, -4.1123]","["" 'Abraham Paper (A12)'"", "" 'Abraham Paper (A2)'"", "" 'CompSol Binary (entry number=8534)'"", "" 'CompSol Binary (entry number=8535)'"", "" 'CompSol Binary (entry number=8551)'""]",74.123,72.107,5,5
CCCCO,C[N+]([O-])=O,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",InChI=1/CH3NO2/c1-2(3)4/h1H3,-3.8754,0.0359210244842766,"[-3.85, -3.85, -3.9262]","["" 'Abraham Paper (A12)'"", "" 'Abraham Paper (A2)'"", "" 'CompSol Binary (entry number=9119)'""]",74.123,61.04,5,4
CCC(=O)C,CCCCCCCC,"InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3","InChI=1/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",-4.69066666666667,0.0238549552271405,"[-4.71, -4.71, -4.6986, -4.7025, -4.6809, -4.642]","["" 'Abraham Paper (A12)'"", "" 'Abraham Paper (A4)'"", "" 'CompSol Binary (entry number=20251)'"", "" 'CompSol Binary (entry number=20252)'"", "" 'CompSol Binary (entry number=20253)'"", "" 'CompSol Binary (entry number=20254)'""]",72.107,114.232,5,8
CCC(=O)C,Cc1ccccc1,"InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3","InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",-5.07385,0.0340867398460652,"[-5.1, -5.1, -5.0846, -5.0953, -5.0046, -5.0586]","["" 'Abraham Paper (A12)'"", "" 'Abraham Paper (A4)'"", "" 'CompSol Binary (entry number=20194)'"", "" 'CompSol Binary (entry number=20220)'"", "" 'CompSol Binary (entry number=20221)'"", "" 'CompSol Binary (entry number=20224)'""]",72.107,92.141,5,7
CCC(=O)C,CCO,"InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3","InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3",-4.35625,0.0623258172830488,"[-4.32, -4.32, -4.3208, -4.4642]","["" 'Abraham Paper (A12)'"", "" 'Abraham Paper (A4)'"", "" 'CompSol Binary (entry number=20108)'"", "" 'CompSol Binary (entry number=20111)'""]",72.107,46.069,5,3
CCC(=O)C,C1COCCO1,"InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3",InChI=1/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,-5.015,0.00966669540225586,"[-5.02, -5.02, -4.9983, -5.0217]","["" 'Abraham Paper (A12)'"", "" 'Abraham Paper (A4)'"", "" 'CompSol Binary (entry number=19769)'"", "" 'CompSol Binary (entry number=19770)'""]",72.107,88.106,5,6
CCC(=O)C,C[N+]([O-])=O,"InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3",InChI=1/CH3NO2/c1-2(3)4/h1H3,-5.1133,0.133321678657298,"[-4.98, -4.98, -5.25, -5.2432]","["" 'Abraham Paper (A12)'"", "" 'Abraham Paper (A4)'"", "" 'Abraham Paper (A4)'"", "" 'CompSol Binary (entry number=20248)'""]",72.107,61.04,5,4
CCCCOC(=O)C,CCCO,"InChI=1/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3","InChI=1/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",-4.65,0.0,"[-4.65, -4.65]","["" 'Abraham Paper (A12)'"", "" 'Abraham Paper (A3)'""]",116.16,60.096,8,4
CCCCOC(=O)C,CCCCCCO,"InChI=1/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3","InChI=1/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",-6.83,0.0,"[-6.83, -6.83]","["" 'Abraham Paper (A12)'"", "" 'Abraham Paper (A3)'""]",116.16,102.177,8,7
ClC(Cl)(Cl)Cl,CCCCCCCC,"InChI=1/CCl4/c2-1(3,4)5","InChI=1/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",-5.45364,0.105026484278966,"[-5.52, -5.2466, -5.5125, -5.5177, -5.4714]","["" 'Abraham Paper (A7)'"", "" 'CompSol Binary (entry number=58164)'"", "" 'CompSol Binary (entry number=58170)'"", "" 'CompSol Binary (entry number=58171)'"", "" 'CompSol Binary (entry number=58172)'""]",153.823,114.232,5,8
ClC(Cl)(Cl)Cl,CC(C)=C,"InChI=1/CCl4/c2-1(3,4)5","InChI=1/C4H8/c1-4(2)3/h1H2,2-3H3",-2.44105,0.00105,"[-2.44, -2.4421]","["" 'Abraham Paper (A7)'"", "" 'CompSol Binary (entry number=57594)'""]",153.823,56.108,5,4
ClC(Cl)(Cl)Cl,CCC=C,"InChI=1/CCl4/c2-1(3,4)5","InChI=1/C4H8/c1-3-4-2/h3H,1,4H2,2H3",-2.4976,0.00239999999999996,"[-2.5, -2.4952]","["" 'Abraham Paper (A7)'"", "" 'CompSol Binary (entry number=57491)'""]",153.823,56.108,5,4
ClC(Cl)(Cl)Cl,c1ccccc1,"InChI=1/CCl4/c2-1(3,4)5",InChI=1/C6H6/c1-2-4-6-5-3-1/h1-6H,-4.42,0.0,[-4.42],"["" 'Abraham Paper (A7)'""]",153.823,78.114,5,6
ClC(Cl)(Cl)Cl,Cc1ccccc1,"InChI=1/CCl4/c2-1(3,4)5","InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",-5.17753333333333,0.044858320174622,"[-5.21, -5.1141, -5.2085]","["" 'Abraham Paper (A7)'"", "" 'CompSol Binary (entry number=58051)'"", "" 'CompSol Binary (entry number=58109)'""]",153.823,92.141,5,7
ClC(Cl)(Cl)Cl,c1ccc2ccccc2c1,"InChI=1/CCl4/c2-1(3,4)5",InChI=1/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H,-7.63,0.0,[-7.63],"["" 'Abraham Paper (A7)'""]",153.823,128.174,5,10
ClC(Cl)(Cl)Cl,CO,"InChI=1/CCl4/c2-1(3,4)5","InChI=1/CH4O/c1-2/h2H,1H3",-2.05,0.0,[-2.05],"["" 'Abraham Paper (A7)'""]",153.823,32.042,5,2
ClC(Cl)(Cl)Cl,CCO,"InChI=1/CCl4/c2-1(3,4)5","InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3",-2.967775,0.192207431893254,"[-2.81, -3.2831, -2.8147, -2.9633]","["" 'Abraham Paper (A7)'"", "" 'CompSol Binary (entry number=57913)'"", "" 'CompSol Binary (entry number=57919)'"", "" 'CompSol Binary (entry number=57920)'""]",153.823,46.069,5,3
ClC(Cl)(Cl)Cl,CCCO,"InChI=1/CCl4/c2-1(3,4)5","InChI=1/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",-3.53,0.0,[-3.53],"["" 'Abraham Paper (A7)'""]",153.823,60.096,5,4
ClC(Cl)(Cl)Cl,CCCCO,"InChI=1/CCl4/c2-1(3,4)5","InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",-4.45,0.0,[-4.45],"["" 'Abraham Paper (A7)'""]",153.823,74.123,5,5
ClC(Cl)(Cl)Cl,CC(C)(C)O,"InChI=1/CCl4/c2-1(3,4)5","InChI=1/C4H10O/c1-4(2,3)5/h5H,1-3H3",-3.52,0.0,[-3.52],"["" 'Abraham Paper (A7)'""]",153.823,74.123,5,5
ClC(Cl)(Cl)Cl,C1COCCO1,"InChI=1/CCl4/c2-1(3,4)5",InChI=1/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,-4.94873333333333,0.0241220968316511,"[-4.97, -4.915, -4.9612]","["" 'Abraham Paper (A7)'"", "" 'CompSol Binary (entry number=57482)'"", "" 'CompSol Binary (entry number=57483)'""]",153.823,88.106,5,6
ClC(Cl)(Cl)Cl,CC(C)=O,"InChI=1/CCl4/c2-1(3,4)5",InChI=1/C3H6O/c1-3(2)4/h1-2H3,-3.25,0.0,[-3.25],"["" 'Abraham Paper (A7)'""]",153.823,58.08,5,4
ClC(Cl)(Cl)Cl,CCC(C)=O,"InChI=1/CCl4/c2-1(3,4)5","InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3",-4.08475,0.00475000000000003,"[-4.08, -4.0895]","["" 'Abraham Paper (A7)'"", "" 'CompSol Binary (entry number=57576)'""]",153.823,72.107,5,5
ClC(Cl)(Cl)Cl,O=C1CCCC1,"InChI=1/CCl4/c2-1(3,4)5",InChI=1/C5H8O/c6-5-3-1-2-4-5/h1-4H2,-5.54,0.0,[-5.54],"["" 'Abraham Paper (A7)'""]",153.823,84.118,5,6
ClC(Cl)(Cl)Cl,CCCCC(C)=O,"InChI=1/CCl4/c2-1(3,4)5","InChI=1/C6H12O/c1-3-4-5-6(2)7/h3-5H2,1-2H3",-5.36,0.0,[-5.36],"["" 'Abraham Paper (A7)'""]",153.823,100.161,5,7
ClC(Cl)(Cl)Cl,CNC,"InChI=1/CCl4/c2-1(3,4)5","InChI=1/C2H7N/c1-3-2/h3H,1-2H3",-2.88,0.0,[-2.88],"["" 'Abraham Paper (A7)'""]",153.823,45.085,5,3
ClC(Cl)(Cl)Cl,CN(C)C,"InChI=1/CCl4/c2-1(3,4)5",InChI=1/C3H9N/c1-4(2)3/h1-3H3,-2.89,0.0,[-2.89],"["" 'Abraham Paper (A7)'""]",153.823,59.112,5,4
ClC(Cl)(Cl)Cl,Brc1ccccc1,"InChI=1/CCl4/c2-1(3,4)5",InChI=1/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,-6.23,0.0,[-6.23],"["" 'Abraham Paper (A7)'""]",153.823,157.01,5,7
ClC(Cl)(Cl)Cl,CN,"InChI=1/CCl4/c2-1(3,4)5","InChI=1/CH5N/c1-2/h2H2,1H3",-2.33,0.0,[-2.33],"["" 'Abraham Paper (A7)'""]",153.823,31.058,5,2
