0,1,2,3,dGsolv_avg,5,6,7,8,9,10,11
CC1=NC=CC=C1,CCCCCCCC,"InChI=1/C6H7N/c1-6-4-2-3-5-7-6/h2-5H,1H3","InChI=1/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",-4.78236666666667,0.0411153120976709,"[-4.8153, -4.8074, -4.7244]","["" 'CompSol Binary (entry number=24185)'"", "" 'CompSol Binary (entry number=24186)'"", "" 'CompSol Binary (entry number=24187)'""]",93.129,114.232,7,8
CC1=NC=CC=C1,Cc1ccccc1,"InChI=1/C6H7N/c1-6-4-2-3-5-7-6/h2-5H,1H3","InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",-5.1163,0.0579999999999998,"[-5.1743, -5.0583]","["" 'CompSol Binary (entry number=24180)'"", "" 'CompSol Binary (entry number=24181)'""]",93.129,92.141,7,7
CC1=NC=CC=C1,CCO,"InChI=1/C6H7N/c1-6-4-2-3-5-7-6/h2-5H,1H3","InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3",-4.9693,0.0326999999999997,"[-4.9366, -5.002]","["" 'CompSol Binary (entry number=24175)'"", "" 'CompSol Binary (entry number=24176)'""]",93.129,46.069,7,3
CC1=NC=CC=C1,C1COCCO1,"InChI=1/C6H7N/c1-6-4-2-3-5-7-6/h2-5H,1H3",InChI=1/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,-5.0176,0.0182000000000002,"[-5.0358, -4.9994]","["" 'CompSol Binary (entry number=24154)'"", "" 'CompSol Binary (entry number=24155)'""]",93.129,88.106,7,6
CC1=NC=CC=C1,CCC(C)=O,"InChI=1/C6H7N/c1-6-4-2-3-5-7-6/h2-5H,1H3","InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3",-4.5244,0.0190000000000001,"[-4.5434, -4.5054]","["" 'CompSol Binary (entry number=24159)'"", "" 'CompSol Binary (entry number=24160)'""]",93.129,72.107,7,5
CC(=O)O,CCCCCCCC,"InChI=1/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/f/h3H","InChI=1/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",-3.96375,0.0326676062790039,"[-4.0063, -3.977, -3.9549, -3.9168]","["" 'CompSol Binary (entry number=29534)'"", "" 'CompSol Binary (entry number=29535)'"", "" 'CompSol Binary (entry number=29536)'"", "" 'CompSol Binary (entry number=29537)'""]",60.052,114.232,4,8
CC(=O)O,Cc1ccccc1,"InChI=1/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/f/h3H","InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",-4.566175,0.0456118611218619,"[-4.5226, -4.5198, -4.6005, -4.6218]","["" 'CompSol Binary (entry number=29522)'"", "" 'CompSol Binary (entry number=29523)'"", "" 'CompSol Binary (entry number=29525)'"", "" 'CompSol Binary (entry number=29529)'""]",60.052,92.141,4,7
CC(=O)O,CCO,"InChI=1/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/f/h3H","InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3",-5.22185,0.02345,"[-5.1984, -5.2453]","["" 'CompSol Binary (entry number=29505)'"", "" 'CompSol Binary (entry number=29506)'""]",60.052,46.069,4,3
CC(=O)O,C1COCCO1,"InChI=1/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/f/h3H",InChI=1/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,-5.81855,0.0247500000000001,"[-5.8433, -5.7938]","["" 'CompSol Binary (entry number=29332)'"", "" 'CompSol Binary (entry number=29333)'""]",60.052,88.106,4,6
CC(=O)O,CCC(C)=O,"InChI=1/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/f/h3H","InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3",-4.8386,0.0383999999999998,"[-4.877, -4.8002]","["" 'CompSol Binary (entry number=29361)'"", "" 'CompSol Binary (entry number=29362)'""]",60.052,72.107,4,5
