smiles_solvent,smiles_solute,inchi_solvent,inchi_solute,dGsolv_avg,dGsolv_std [kcal/mol],dGsolv_all [kcal/mol],Source_all,mw_solvent,mw_solute,heavy_atoms_solvent,heavy_atoms_solute
CC1=NC=CC=C1,CCCCCCCC,"InChI=1/C6H7N/c1-6-4-2-3-5-7-6/h2-5H,1H3","InChI=1/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",-4.782366667,0.041115312,"[-4.8153, -4.8074, -4.7244]","["" 'CompSol Binary (entry number=24185)'"", "" 'CompSol Binary (entry number=24186)'"", "" 'CompSol Binary (entry number=24187)'""]",93.129,114.232,7,8
CC1=NC=CC=C1,Cc1ccccc1,"InChI=1/C6H7N/c1-6-4-2-3-5-7-6/h2-5H,1H3","InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",-5.1163,0.058,"[-5.1743, -5.0583]","["" 'CompSol Binary (entry number=24180)'"", "" 'CompSol Binary (entry number=24181)'""]",93.129,92.141,7,7
CC1=NC=CC=C1,CCO,"InChI=1/C6H7N/c1-6-4-2-3-5-7-6/h2-5H,1H3","InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3",-4.9693,0.0327,"[-4.9366, -5.002]","["" 'CompSol Binary (entry number=24175)'"", "" 'CompSol Binary (entry number=24176)'""]",93.129,46.069,7,3
CC1=NC=CC=C1,C1COCCO1,"InChI=1/C6H7N/c1-6-4-2-3-5-7-6/h2-5H,1H3",InChI=1/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,-5.0176,0.0182,"[-5.0358, -4.9994]","["" 'CompSol Binary (entry number=24154)'"", "" 'CompSol Binary (entry number=24155)'""]",93.129,88.106,7,6
CC1=NC=CC=C1,CCC(C)=O,"InChI=1/C6H7N/c1-6-4-2-3-5-7-6/h2-5H,1H3","InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3",-4.5244,0.019,"[-4.5434, -4.5054]","["" 'CompSol Binary (entry number=24159)'"", "" 'CompSol Binary (entry number=24160)'""]",93.129,72.107,7,5
CC(=O)O,CCCCCCCC,"InChI=1/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/f/h3H","InChI=1/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",-3.96375,0.032667606,"[-4.0063, -3.977, -3.9549, -3.9168]","["" 'CompSol Binary (entry number=29534)'"", "" 'CompSol Binary (entry number=29535)'"", "" 'CompSol Binary (entry number=29536)'"", "" 'CompSol Binary (entry number=29537)'""]",60.052,114.232,4,8
CC(=O)O,Cc1ccccc1,"InChI=1/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/f/h3H","InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",-4.566175,0.045611861,"[-4.5226, -4.5198, -4.6005, -4.6218]","["" 'CompSol Binary (entry number=29522)'"", "" 'CompSol Binary (entry number=29523)'"", "" 'CompSol Binary (entry number=29525)'"", "" 'CompSol Binary (entry number=29529)'""]",60.052,92.141,4,7
CC(=O)O,CCO,"InChI=1/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/f/h3H","InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3",-5.22185,0.02345,"[-5.1984, -5.2453]","["" 'CompSol Binary (entry number=29505)'"", "" 'CompSol Binary (entry number=29506)'""]",60.052,46.069,4,3
CC(=O)O,C1COCCO1,"InChI=1/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/f/h3H",InChI=1/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,-5.81855,0.02475,"[-5.8433, -5.7938]","["" 'CompSol Binary (entry number=29332)'"", "" 'CompSol Binary (entry number=29333)'""]",60.052,88.106,4,6
CC(=O)O,CCC(C)=O,"InChI=1/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/f/h3H","InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3",-4.8386,0.0384,"[-4.877, -4.8002]","["" 'CompSol Binary (entry number=29361)'"", "" 'CompSol Binary (entry number=29362)'""]",60.052,72.107,4,5
CC(=O)O,C[N+]([O-])=O,"InChI=1/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/f/h3H",InChI=1/CH3NO2/c1-2(3)4/h1H3,-4.8615,0.0133,"[-4.8482, -4.8748]","["" 'CompSol Binary (entry number=29530)'"", "" 'CompSol Binary (entry number=29531)'""]",60.052,61.04,4,4
CC#N,CCCCCCCC,InChI=1/C2H3N/c1-2-3/h1H3,"InChI=1/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",-3.634428571,0.05435951,"[-3.5633, -3.722, -3.6115, -3.6218, -3.6556, -3.6918, -3.575]","["" 'CompSol Binary (entry number=31604)'"", "" 'CompSol Binary (entry number=31605)'"", "" 'CompSol Binary (entry number=31606)'"", "" 'CompSol Binary (entry number=31607)'"", "" 'CompSol Binary (entry number=31608)'"", "" 'CompSol Binary (entry number=31609)'"", "" 'CompSol Binary (entry number=31610)'""]",41.053,114.232,3,8
CC#N,Cc1ccccc1,InChI=1/C2H3N/c1-2-3/h1H3,"InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",-4.718933333,0.030287163,"[-4.7174, -4.7271, -4.7558, -4.7514, -4.6892, -4.6727]","["" 'CompSol Binary (entry number=31573)'"", "" 'CompSol Binary (entry number=31575)'"", "" 'CompSol Binary (entry number=31576)'"", "" 'CompSol Binary (entry number=31577)'"", "" 'CompSol Binary (entry number=31578)'"", "" 'CompSol Binary (entry number=31579)'""]",41.053,92.141,3,7
CC#N,CCO,InChI=1/C2H3N/c1-2-3/h1H3,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3",-4.375033333,0.037388085,"[-4.3406, -4.3575, -4.427]","["" 'CompSol Binary (entry number=31509)'"", "" 'CompSol Binary (entry number=31510)'"", "" 'CompSol Binary (entry number=31511)'""]",41.053,46.069,3,3
CC#N,C1COCCO1,InChI=1/C2H3N/c1-2-3/h1H3,InChI=1/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,-5.27655,0.05435,"[-5.3309, -5.2222]","["" 'CompSol Binary (entry number=31226)'"", "" 'CompSol Binary (entry number=31232)'""]",41.053,88.106,3,6
CC#N,CCC(C)=O,InChI=1/C2H3N/c1-2-3/h1H3,"InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3",-4.74885,0.01915,"[-4.768, -4.7297]","["" 'CompSol Binary (entry number=31329)'"", "" 'CompSol Binary (entry number=31330)'""]",41.053,72.107,3,5
CC#N,C[N+]([O-])=O,InChI=1/C2H3N/c1-2-3/h1H3,InChI=1/CH3NO2/c1-2(3)4/h1H3,-5.6262,0,[-5.6262],"["" 'CompSol Binary (entry number=31600)'""]",41.053,61.04,3,4
CC(=O)C1=CC=CC=C1,CCCCCCCC,"InChI=1/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3","InChI=1/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",-4.29195,0.045975945,"[-4.3271, -4.3469, -4.2553, -4.2385]","["" 'CompSol Binary (entry number=14384)'"", "" 'CompSol Binary (entry number=14385)'"", "" 'CompSol Binary (entry number=14386)'"", "" 'CompSol Binary (entry number=14389)'""]",120.151,114.232,9,8
CC(=O)C1=CC=CC=C1,Cc1ccccc1,"InChI=1/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3","InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",-4.9345,0.037,"[-4.9715, -4.8975]","["" 'CompSol Binary (entry number=14370)'"", "" 'CompSol Binary (entry number=14373)'""]",120.151,92.141,9,7
CC(=O)C1=CC=CC=C1,CCO,"InChI=1/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3","InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3",-4.0443,0.0781,"[-3.9662, -4.1224]","["" 'CompSol Binary (entry number=14335)'"", "" 'CompSol Binary (entry number=14336)'""]",120.151,46.069,9,3
CC(=O)C1=CC=CC=C1,C1COCCO1,"InChI=1/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3",InChI=1/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,-5.0316,0.0068,"[-5.0248, -5.0384]","["" 'CompSol Binary (entry number=14281)'"", "" 'CompSol Binary (entry number=14282)'""]",120.151,88.106,9,6
